0
"128.195985,36.156725"
"128.1967159,36.1570237"
"128.1974919,36.1572824"
"128.1983543,36.1574947"
"128.1991304,36.157638"
"128.1996391,36.1577081"
"128.2018989,36.1579238"
"128.2067434,36.1582406"
"128.2088058,36.1583745"
"128.2099559,36.1584407"
"128.2124432,36.158599"
"128.2163432,36.1588489"
"128.2192677,36.1590406"
"128.2213413,36.1591814"
"128.2222423,36.1592354"
"128.2229297,36.15927"
"128.2240987,36.1593297"
"128.2248996,36.159378"
"128.2273046,36.1595275"
"128.2296952,36.1596771"
"128.2367489,36.1601162"
"128.2461124,36.1607245"
