smiles,use_AUTOCORR3D_071,use_AUTOCORR3D_072,use_AUTOCORR3D_073
CCCCCCCCCC(C)=O,0.409,0.474,0.534
CCCCOCCOC(C)=O,0.399,0.452,0.495
CCCCCCCCC(O)=O,0.429,0.486,0.531
COCCOCCOC,0.431,0.528,0.562
ClCCOCOCCCl,0.496,0.573,0.657
CCOCCOCCO,0.418,0.547,0.582
CCCCCCCCS,0.53,0.661,0.712
CCCCCCCCN,0.488,0.579,0.621
CCCCCCCCCl,0.531,0.6,0.588
CCCCCCCCC,0.496,0.591,0.634
CCCCCCCCCCCC(=O)OC,0.32,0.415,0.459
C1CC=CCCC=C1,0.719,0.926,0.508
COCCOCCO,0.471,0.519,0.486
CCCCCCC=O,0.526,0.669,0.695
CCCCCCCO,0.531,0.597,0.609
N#CCCCCC#N,0.528,0.611,0.622
CC=CCCCCC,0.541,0.628,0.627
CCCCCCC=C,0.541,0.656,0.68
CCCCCCCC,0.544,0.669,0.706
CC(=O)OCCOC(C)=O,0.458,0.46,0.45
C1CCCCCN1,0.833,1.033,0
OCCSCCO,0.7,0.731,0.55
OCCOCCO,0.509,0.59,0.599
ClCCOCCCl,0.661,0.678,0.746
CCCOCCC,0.55,0.627,0.661
NCCNCCO,0.543,0.572,0.521
NCCNCCN,0.551,0.632,0.639
CCCCN=C=O,0.562,0.586,0.496
CCCCCCS,0.665,0.758,0.754
O=CCCCC=O,0.558,0.591,0.541
OCCCCCO,0.568,0.612,0.548
CCCCCCN,0.593,0.691,0.68
CCCCCCBr,0.707,0.784,0.66
OC(=O)CCCCCCCCC(O)=O,0.35,0.404,0.484
CCOCCOC(C)=O,0.469,0.518,0.536
CCCCCCC(O)=O,0.513,0.564,0.626
CCCCCCC(C)=O,0.54,0.536,0.575
CC(O)CNCC(C)O,0.57,0.5,0.544
CC(C)CNCC(C)C,0.614,0.544,0.615
OC(=O)CCCC(O)=O,0.535,0.492,0.466
C1CCCCN1,0.972,0.547,0
C1OCOCO1,0.812,0.454,0
c1cccc[n]1,0.924,0.534,0
C1CCCC=C1,0.997,0.575,0
C1CCCCC1,1.007,0.567,0
CCSSCC,1.068,0.888,0.622
C=COCCCl,0.671,0.788,0.766
CCCOC=O,0.576,0.569,0.52
COCCOC,0.588,0.67,0.547
OCC#CCO,0.627,0.667,0.55
OCCCCO,0.623,0.652,0.52
CCCCC=O,0.643,0.669,0.518
CCCCC#N,0.664,0.677,0.601
CCCCCN,0.661,0.709,0.587
CCCCCC,0.677,0.73,0.643
CCCCCBr,0.817,0.857,0.668
BrCCCCBr,0.941,1.109,1.038
CC(C)CCOC=O,0.58,0.563,0.522
CCCCCC(C)=O,0.602,0.616,0.659
CCCCCCCCCC(=O)OC,0.365,0.469,0.515
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,0.221,0.288,0.346
CCCCCCCCCCCCCC(=O)OC(C)C,0.266,0.329,0.409
CC(C)COC(C)=O,0.637,0.535,0.555
CC(C)CCC(C)=O,0.688,0.606,0.646
CC(C)(C)OOC(C)(C)C,0.704,0.439,0.564
c1ccc[s]1,1.413,0,0
c1ccco1,1.045,0,0
C1CCCO1,1.116,0,0
c1ccc[nH]1,1.081,0,0
C=COC=C,0.649,0.646,0.419
CCOC=C,0.646,0.724,0.473
CCNCC,0.702,0.686,0.446
COCCO,0.647,0.638,0.409
CNCCO,0.678,0.619,0.373
N#CCC#N,0.721,0.63,0.37
C=CCC#N,0.732,0.66,0.408
CCCC#N,0.74,0.622,0.349
ClCCCBr,1.069,1.098,1.051
CCCCCl,0.872,0.822,0.617
CCCC=C,0.756,0.656,0.423
CCCCBr,0.961,0.918,0.745
BrCCCBr,1.154,1.341,1.424
CCCOC(=O)Cl,0.696,0.63,0.606
CN(C)CCCN,0.682,0.625,0.553
CC(C)COC=C,0.666,0.62,0.654
CCCCC(O)=O,0.642,0.571,0.465
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,0.221,0.29,0.345
CCCC(=O)OCCCC,0.453,0.553,0.617
Clc1cccc[n]1,0.987,0.879,0.282
Cc1cccc[n]1,0.888,0.734,0.201
C[C@@H]1CCCCN1,0.924,0.703,0.179
Brc1cccc[n]1,1.066,0.991,0.345
Sc1ccccc1,1.048,0.928,0.3
Oc1ccccc1,0.883,0.697,0.171
O=C1CCCCC1,0.915,0.707,0.168
NC1CCCCC1,0.941,0.744,0.187
Clc1ccccc1,1.03,0.904,0.287
Cc1cc[n]cc1,0.901,0.741,0.191
CC1CCCCC1,0.956,0.788,0.208
Brc1ccccc1,1.114,1.019,0.35
CC(C)CC(C)OC(C)=O,0.558,0.57,0.759
CC(C)CC(O)CC(C)C,0.6,0.604,0.838
Nc1[n]c(N)[n]c(N)[n]1,0.692,0.748,0.624
Cc1cc(C)[n]c(C)c1,0.791,0.845,0.758
Cc1cc(O)cc(C)c1,0.794,0.828,0.712
COCC(C)OC(C)=O,0.536,0.607,0.757
CC(CCl)OC(C)CCl,0.643,0.853,0.778
COC(=O)CC(=O)OC,0.521,0.635,0.554
C=Cc1cc(ccc1)C=C,0.653,0.819,0.713
Cc1cccc(C)[n]1,0.837,0.816,0.473
Cc1cc(C)[n]cc1,0.846,0.821,0.473
Oc1cc(O)ccc1,0.81,0.749,0.386
Cc1cc(N)ccc1,0.855,0.813,0.455
Oc1cc(Cl)ccc1,0.92,0.904,0.553
Nc1cc(Cl)ccc1,0.933,0.923,0.581
Cc1cc(S)ccc1,0.966,0.967,0.637
Cc1cc(O)ccc1,0.842,0.794,0.432
Cc1cc(C)ccc1,0.873,0.838,0.485
CC1COC(=O)O1,0.872,0.582,0.18
O=C1C=CC(=O)O1,0.878,0.564,0.16
CC(C)OC(=O)Cl,0.795,0.678,0.905
CC(C)OC(C)=O,0.709,0.607,0.735
CC(C)OC(C)C,0.752,0.651,0.827
CC(C)CC(C)O,0.805,0.616,0.715
CC(C)CC(C)C,0.849,0.65,0.771
CCC[N+]([O-])=O,0.695,0.548,0.409
CN(C)CCO,0.773,0.604,0.438
COCC(C)O,0.742,0.556,0.517
CCCC(O)=O,0.724,0.573,0.419
CC(O)CCO,0.76,0.614,0.448
CCCC(C)C,0.842,0.728,0.637
CC(C)CCBr,0.981,0.857,0.887
CCCC(C)Br,1.108,0.918,0.866
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.426,0.576,0.821
C[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,0.801,0.913,1.238
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.404,0.633,0.935
C[Si](C)(C)O[Si](C)(C)C,1.127,1.019,1.254
CC(C)OP(C)(=O)F,0.798,0.681,0.805
CC(O)CC(C)(C)O,0.83,0.562,0.727
CC(=C)CC(C)(C)C,0.897,0.604,0.871
C=CC[Si](Cl)(Cl)Cl,1.781,1.013,0.901
COC=O,0.671,0.388,0
COC=C,0.742,0.472,0
OCCO,0.708,0.463,0
C#CCO,0.78,0.49,0
C=CCO,0.772,0.414,0
NCCN,0.758,0.427,0
C=CC#N,0.798,0.538,0
CCC#N,0.81,0.535,0
C=CCN,0.802,0.547,0
CCCI,1.363,1.077,0
OCCCl,0.959,0.606,0
ClCCCl,1.218,1.007,0
ClCCBr,1.365,1.228,0
CCCS,1.07,0.769,0
C=CC=O,0.75,0.515,0
C=CC=C,0.816,0.61,0
CCC=C,0.832,0.593,0
CCCC,0.849,0.524,0
BrCCBr,1.513,1.481,0
ClCC1CO1,0.849,0.78,0
CCC1CO1,0.726,0.665,0
CCCCCC(=O)OC,0.508,0.621,0.557
CCCCCC(=O)CC,0.539,0.633,0.571
CC(C)CC(CO)CC,0.624,0.728,0.81
CC(C)COC(=O)C=C,0.562,0.57,0.563
CC1CNC(C)CN1,0.844,0.767,0.293
O=C1C=CC(=O)C=C1,0.823,0.748,0.256
Oc1ccc(Cl)cc1,0.921,0.905,0.344
Nc1ccc(Cl)cc1,0.934,0.924,0.355
Clc1ccc(Cl)cc1,1.031,1.06,0.429
Cc1ccc(O)cc1,0.842,0.794,0.282
Cc1ccc(Cl)cc1,0.953,0.949,0.369
Cc1ccc(C)cc1,0.874,0.838,0.308
Clc1ccc(Br)cc1,1.094,1.146,0.477
Cc1ccc(Br)cc1,1.016,1.035,0.417
Brc1ccc(Br)cc1,1.157,1.232,0.524
CCCCC(=O)CC,0.597,0.712,0.645
CCCC(=O)OC(=O)CCC,0.439,0.549,0.675
CCCCCCC(=O)OCC,0.419,0.507,0.573
CC(CCO)CCC=C(C)C,0.498,0.559,0.62
CCCCOC(=O)/C=C\C(=O)OCCCC,0.297,0.371,0.419
Cc1cc(C)c(O)cc1,0.795,0.899,0.478
CCCOC(=O)CCC,0.494,0.618,0.707
CN(CCO)CCO,0.577,0.642,0.594
CCOC(=O)OCC,0.497,0.622,0.666
CC(OCC)OCC,0.531,0.687,0.703
CCOC(=O)CCC,0.547,0.661,0.696
CCOC(=O)CC(=O)OCC,0.419,0.531,0.62
CC(C)OC(=O)CCl,0.659,0.729,0.761
CC(=O)CC(=O)OC,0.618,0.623,0.598
CCOC(=O)NC,0.585,0.682,0.551
CCOC(=O)CCl,0.66,0.801,0.623
COC(=O)CC#N,0.619,0.692,0.506
CCCC(C)CO,0.701,0.803,0.58
OCC1CCC(CC1)CO,0.654,0.787,0.545
COc1ccc(N)cc1,0.708,0.778,0.459
COc1ccc(Br)cc1,0.832,0.95,0.555
Cc1ccc(CC)c[n]1,0.728,0.816,0.477
Cc1ccc(C=O)cc1,0.736,0.806,0.455
Cc1ccc(cc1)C#N,0.742,0.827,0.484
Cc1ccc(CCl)cc1,0.78,0.911,0.586
CCCCC(CN)CC,0.56,0.759,0.69
CCCCCCCCCCc1ccccc1,0.354,0.409,0.413
O=CC=Cc1ccccc1,0.586,0.642,0.592
CCCCCCCCCc1ccc(O)cc1,0.367,0.442,0.42
CC(=O)Nc1ccccc1,0.613,0.628,0.638
O=C(Cl)Cc1ccccc1,0.679,0.655,0.67
O=CNc1ccccc1,0.647,0.68,0.541
CCNc1ccccc1,0.658,0.711,0.621
BrCCc1ccccc1,0.735,0.77,0.707
C(OCc1ccccc1)c1ccccc1,0.432,0.478,0.444
C(NCc1ccccc1)c1ccccc1,0.436,0.489,0.459
CCOC(=O)C=Cc1ccccc1,0.443,0.533,0.563
c1ccccc1N=Nc1ccccc1,0.464,0.497,0.426
C(Cc1ccccc1)c1ccccc1,0.482,0.537,0.496
COC(=O)C=Cc1ccccc1,0.492,0.574,0.54
CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,0.204,0.286,0.35
CCCCC(COC(C)=O)CC,0.425,0.548,0.629
CC(O)CNC1CCCCC1,0.567,0.577,0.556
CCCCN(CCCC)CCCC,0.378,0.522,0.665
CC(=O)OC(COC(C)=O)COC(C)=O,0.338,0.403,0.539
OCCN(CCO)CCO,0.456,0.642,0.775
C=CCN(CC=C)CC=C,0.482,0.634,0.807
O=C(Oc1ccccc1)Oc1ccccc1,0.391,0.443,0.475
c1ccccc1Oc1ccccc1,0.506,0.542,0.528
C(c1ccccc1)c1ccccc1,0.53,0.576,0.543
Brc1ccc(cc1)Oc1ccccc1,0.533,0.608,0.533
Nc1ccc(cc1)Nc1ccccc1,0.493,0.558,0.515
CN(C)C(=O)Nc1ccccc1,0.523,0.596,0.559
O=C(Nc1cc(Cl)ccc1)OCC#CCCl,0.394,0.492,0.555
CC(C)OC(=O)Nc1cccc(Cl)c1,0.473,0.556,0.647
Clc1ccccc1Nc1[n]c(Cl)[n]c(Cl)[n]1,0.487,0.639,0.707
Cc1cc(C=C)ccc1,0.747,0.837,0.634
C1CN2CCC1CC2,1.036,0.703,0
CCc1cccc[n]1,0.755,0.777,0.468
C=Cc1cccc[n]1,0.754,0.778,0.477
CSc1ccccc1,0.883,0.943,0.554
ON=C1CCCCC1,0.771,0.743,0.412
NNc1ccccc1,0.758,0.763,0.445
CNc1ccccc1,0.764,0.78,0.468
SCc1ccccc1,0.829,0.915,0.618
O=Cc1ccccc1,0.766,0.766,0.431
OCc1ccccc1,0.767,0.766,0.426
NCc1ccccc1,0.774,0.783,0.449
ClCc1ccccc1,0.822,0.9,0.598
C=Cc1cc[n]cc1,0.763,0.795,0.473
CCc1ccccc1,0.783,0.804,0.476
C=CC1CC=CCC1,0.802,0.835,0.498
BrCc1ccccc1,0.855,0.976,0.694
OC(=O)c1ccc(cc1)C(O)=O,0.545,0.692,0.599
CC(C)c1ccc(cc1)C(C)C,0.599,0.76,0.682
CC(=O)c1ccc(cc1)OC,0.593,0.746,0.617
Cc1ccc(cc1)[N+]([O-])=O,0.657,0.747,0.519
Cc1ccc(cc1)N(C)C,0.697,0.799,0.588
CC(C)c1ccc(O)cc1,0.692,0.79,0.581
CC(C)c1ccc(N)cc1,0.7,0.802,0.588
CC(C)C1CC=C(C)C=C1,0.723,0.803,0.53
CC(C)C1CCC(C)CC1,0.731,0.826,0.602
CCC(C)c1ccc(O)cc1,0.612,0.772,0.608
CC(C)c1cc(ccc1)C(C)C,0.599,0.759,0.758
[O-][N+](=O)c1cccc(c1)C=O,0.575,0.713,0.651
[O-][N+](=O)c1cc(Cl)c(Cl)cc1,0.71,0.965,0.683
[O-][N+](=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,0.428,0.586,0.669
Nc1c(Cl)cc(cc1Cl)[N+]([O-])=O,0.66,0.935,0.873
Cc1cc(ccc1)[N+]([O-])=O,0.657,0.747,0.622
Cc1cc(ccc1)C(O)=O,0.671,0.768,0.646
[O-][N+](=O)c1ccccc1,0.682,0.723,0.53
ClC(Cl)c1ccccc1,0.886,0.96,0.816
CC(=O)c1ccccc1,0.725,0.783,0.592
CC(=C)c1ccccc1,0.746,0.811,0.628
FC(F)(F)c1ccc(Cl)cc1,0.647,0.744,0.549
CC1CCC(CC=1)C(C)(C)O,0.708,0.785,0.639
CC(C)(C)c1ccc(O)cc1,0.702,0.768,0.641
[O-][N+](=O)c1cc(ccc1)C(F)(F)F,0.494,0.615,0.614
Cc1cc(ccc1O)C(C)(C)C,0.662,0.793,0.676
Cl[Si](Cl)(Cl)c1ccccc1,1.189,1.166,1.08
FC(F)(F)c1ccccc1,0.63,0.672,0.538
ClC(Cl)(Cl)c1ccccc1,1.02,0.976,0.934
OCc1ccco1,0.824,0.602,0.364
OCC1CCCO1,0.854,0.572,0.346
CCC(CO)CC,0.704,0.909,0.549
CC(=C)C(=O)OCC(C)C,0.561,0.588,0.582
CC(C)C(=O)OCC(C)C,0.561,0.59,0.59
CCOC(=O)C(C)O,0.605,0.709,0.602
CCOC(=O)C(C)C,0.634,0.741,0.627
CC=Cc1cc(OC)c(O)cc1,0.532,0.722,0.714
COc1cc(CC=C)ccc1O,0.532,0.715,0.695
[O-][N+](=O)c1cc(ccc1Cl)[N+]([O-])=O,0.539,0.75,0.727
CC(C)N(CCO)C(C)C,0.582,0.806,0.918
CC(C)(C)c1cc(ccc1O)C(C)(C)C,0.56,0.69,0.772
CC(OP(C)(=O)F)C(C)(C)C,0.681,0.686,0.741
C[n]1cccc1,1.052,0.481,0
CC1CCCO1,1.056,0.464,0
Clc1ccc[s]1,1.561,0.724,0
OC1CCCC1,1.092,0.425,0
COC(=O)CCl,0.782,0.912,0.393
COC(=O)C=C,0.707,0.762,0.278
OCC(O)CCl,0.84,0.97,0.244
CCC(=O)CC,0.777,0.812,0.297
ClCC(Cl)=CCl,1.129,1.488,0.599
ClC(CCl)CCl,1.154,1.382,0.38
OCC(Br)CBr,1.213,1.592,0.327
ClCC(Br)CBr,1.317,1.778,0.7
C1OC1c1ccccc1,0.67,0.789,0.598
Oc1cc(Cl)c(Cl)cc1Cl,0.896,1.242,0.829
Clc1cc(Cl)c(Cl)cc1Cl,0.964,1.387,0.966
Cc1cc(C)c(C)cc1C,0.767,0.989,0.605
Cc1cc(O)c(C)cc1,0.795,0.895,0.457
Cc1ccc(N)cc1N,0.791,0.898,0.452
Cc1cc(N)c(C)cc1,0.805,0.918,0.474
Cc1cc(Cl)c(Cl)cc1,0.943,1.194,0.648
Cc1ccc(Cl)cc1Cl,0.942,1.148,0.723
Cc1cc(C)c(N)cc1,0.805,0.918,0.487
Cc1cc(N)ccc1C,0.805,0.924,0.474
Cc1cc(C)c(C)cc1,0.819,0.944,0.497
Cc1ccccc1N,0.856,0.909,0.292
Cc1ccccc1F,0.82,0.837,0.263
Nc1ccccc1Cl,0.935,1.058,0.354
Cc1ccccc1Cl,0.953,1.094,0.368
Cc1ccccc1O,0.842,0.88,0.281
Cc1ccccc1C,0.873,0.942,0.306
CC(C)(C)NSc1[n]c2ccccc2[s]1,0.612,0.669,0.627
c1cccc2[s]ccc21,0.977,0.953,0.551
C1C=Cc2ccccc21,0.868,0.849,0.491
ClCc1ccc(Cl)cc1Cl,0.834,1.126,1
CCC(CO)C(O)CCC,0.538,0.777,0.79
Cc1cc(Cl)ccc1OCCCC(O)=O,0.44,0.549,0.556
Cc1cc(Cl)ccc1OCC(O)=O,0.527,0.641,0.648
CCOC(=O)CC(=O)c1ccccc1,0.427,0.539,0.603
O=C(Oc1ccccc1)c1ccccc1,0.44,0.516,0.535
O=C(OC(=O)c1ccccc1)c1ccccc1,0.389,0.486,0.526
CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,0.393,0.559,0.557
C=CCN(CC=C)C(=O)CCl,0.488,0.718,0.848
CCC(=O)c1ccccc1,0.636,0.762,0.643
CC(C=O)c1ccccc1,0.644,0.777,0.649
BrCC(Br)c1ccccc1,0.791,1.069,0.908
COc1ccc(CC=C)cc1OC,0.481,0.687,0.746
OC(=O)c1cc2ccccc2cc1,0.574,0.74,0.657
CC(=O)c1cc2ccccc2cc1,0.585,0.756,0.678
Brc1ccc(cc1)-c1ccccc1,0.613,0.745,0.675
C1CN(CCN1)c1ccccc1,0.574,0.663,0.664
C1CCCCC1C1CCCCC1,0.613,0.686,0.681
c1c2cc3ccccc3cc2cc2ccccc21,0.478,0.658,0.65
c1c(cccc1-c1ccccc1)-c1ccccc1,0.413,0.534,0.624
O=C1C=Cc2ccccc2O1,0.665,0.792,0.604
Cc1ccc2ccccc2[n]1,0.69,0.826,0.634
Cc1cc2ccc[n]c2cc1,0.695,0.829,0.639
Clc1cc2ccccc2cc1,0.749,0.905,0.717
Cc1cc2ccccc2cc1,0.709,0.848,0.651
c1cccc2[n]cccc21,0.738,0.844,0.574
c1cccc2ccccc21,0.755,0.868,0.589
Cc1c(cccc1N=C=O)N=C=O,0.476,0.699,0.732
OC(c1ccccc1)c1ccccc1,0.5,0.616,0.633
Oc1ccccc1-c1ccccc1,0.551,0.691,0.704
Clc1cccc2ccccc21,0.75,0.981,0.826
Cc1cccc2ccccc21,0.709,0.903,0.729
Brc1cccc2ccccc21,0.782,1.042,0.9
CCc1ccccc1O,0.725,0.87,0.552
Cc1cc(C)c(cc1)[N+]([O-])=O,0.63,0.802,0.703
Cc1ccc(C(C)C)c(O)c1,0.658,0.832,0.728
CC(C)=C1CC[C@@H](C)CC1=O,0.669,0.846,0.753
OC(=O)c1ccccc1C(O)=O,0.546,0.739,0.782
O=C(Cl)c1ccccc1C(=O)Cl,0.633,0.853,1.005
[O-][N+](=O)c1cc(c(O)c(c1)[N+]([O-])=O)[N+]([O-])=O,0.409,0.606,0.699
[O-][N+](=O)c1ccccc1Cl,0.708,0.906,0.742
Cc1ccccc1[N+]([O-])=O,0.658,0.811,0.653
CC(C)(C)c1ccccc1O,0.703,0.815,0.805
FC(F)(F)c1ccccc1Cl,0.648,0.82,0.742
CCC(CC)C(O)=O,0.659,0.867,0.617
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.83,1.478,1.279
Cc1c(C)c(C)c(C)c(C)c1C,0.677,1.081,0.847
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.981,1.453,1.194
Oc1c(Cl)cccc1Cl,0.918,1.192,0.704
Cc1cccc(C)c1N,0.806,0.992,0.486
Clc1c(Cl)cccc1Cl,1.004,1.435,0.772
c1cccc2[nH]c3ccccc3c21,0.639,0.807,0.751
C1c2ccccc2-c2ccccc21,0.653,0.828,0.765
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,0.462,0.624,0.577
CC[n]1c2ccccc2c2ccccc12,0.544,0.791,0.891
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,0.275,0.375,0.443
c1cccc2c3ccc[n]c3ccc21,0.58,0.791,0.779
c1cc2ccccc2c2ccccc21,0.589,0.802,0.789
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,0.237,0.343,0.434
CCOC(=O)c1ccccc1C(=O)OCC,0.374,0.562,0.708
O=C1c2ccccc2C(=O)c2ccccc12,0.517,0.775,0.851
CCCCOC(=O)c1ccccc1C(=O)OC1CCCCC1,0.291,0.397,0.49
Cc1c[nH]c2ccccc21,0.789,0.893,0.594
[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.669,1.205,1.286
O=C(C1C(=O)c2ccccc2C1=O)C(c1ccccc1)c1ccccc1,0.302,0.441,0.553
Nc1cccc2c1C(=O)c1ccccc1C2=O,0.49,0.754,0.858
[O-][N+](=O)c1cccc2c1C(=O)c1ccccc1C2=O,0.422,0.664,0.806
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,0.324,0.475,0.618
C/C(=C\C)/C(O)=O,0.751,0.855,0.378
CC1=CCC2CC1C2(C)C,0.878,0.944,0.456
CC(C)(CC)c1ccc(O)cc1,0.625,0.792,0.644
CC1(C)C2CC(CC2)C1=C,0.978,0.968,0.266
O=C(C(F)(F)Cl)C(F)(F)F,0.651,0.682,0.546
CC(C)[N+]([O-])=O,0.846,0.713,0
OC(=O)C(Cl)Cl,1.221,1.03,0
CC(=C)C(O)=O,0.884,0.739,0
NC(=S)C(N)=S,1.25,1.247,0
FC(F)=C(F)Cl,0.846,0.705,0
O=C(Cl)C(Cl)Cl,1.413,1.336,0
ClC(Cl)C(Cl)Cl,1.666,1.685,0
CC(C)C(C)C,1.014,0.883,0
BrC(Br)C(Br)Br,2.26,2.482,0
CC[N+]([O-])=O,0.787,0.534,0
COC(C)=O,0.816,0.596,0
CNC(C)=O,0.861,0.618,0
OCC(O)=O,0.79,0.472,0
C=CC(O)=O,0.826,0.549,0
CCC(O)=O,0.83,0.553,0
OC(=O)CBr,1.023,0.941,0
CCC(N)=O,0.867,0.578,0
O=C(Cl)CCl,1.228,1.007,0
O=CC(Cl)Cl,1.45,0.838,0
ClCC(Cl)Cl,1.617,1.173,0
CCC(Cl)Cl,1.503,0.979,0
CC(O)C#N,0.905,0.592,0
CC(=O)CCl,1.042,0.854,0
CCC(C)O,0.931,0.642,0
CC(Cl)CO,1.191,0.685,0
C=C(Cl)CCl,1.331,1.106,0
CC(Cl)CCl,1.348,1.018,0
CC(=C)C=O,0.952,0.565,0
CC(C)C=O,0.955,0.517,0
CC(C)CN,0.987,0.557,0
CC(=C)C=C,0.991,0.662,0
CCC(C)C,1.01,0.7,0
CC(Br)CBr,1.615,1.395,0
CC(C)=CCCC(C)(O)C=C,0.571,0.592,0.49
CC(C)(C#N)/N=N/C(C)(C)C#N,0.568,0.598,0.488
CC1CC(C)(C)CC(=O)C=1,0.815,0.81,0.814
COP(=S)(OC)SCc1[n]c(N)[n]c(N)[n]1,0.529,0.663,0.592
CCCCSP(=O)(SCCCC)SCCCC,0.512,0.637,0.783
CCOP(=O)(OCC)OCC,0.524,0.729,0.786
CCP(=O)(OCC)OCC,0.633,0.843,0.803
CCO[Si](OCC)(OCC)OCC,0.465,0.76,0.951
CCO[Si](C=C)(OCC)OCC,0.543,0.86,1.004
CCOP(=O)(C#N)N(C)C,0.732,0.955,0.727
COS(=O)(=O)OC,0.858,0.792,0.202
CC(C)(OC)OC,0.829,0.864,0.165
CC(O)(CC)CC,0.903,0.904,0.214
C1C=CC2C3CC(C=C3)C21,0.957,0.737,0.465
ClC1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,1.11,1.909,1.216
OCC(F)(F)C(F)F,0.632,0.654,0.195
FC(F)(F)C(F)(F)F,0.642,0.547,0
FC(F)(F)C(F)(F)Cl,0.806,0.723,0
FC(F)(Cl)C(F)(F)Cl,0.97,0.965,0
FC(Cl)(Cl)C(F)(Cl)Cl,1.386,1.448,0
FC(F)(Cl)C(Cl)(Cl)Cl,1.431,1.401,0
[O-][N+](=O)C(Cl)(Cl)Cl,1.498,1.08,0
OC(=O)C(Cl)(Cl)Cl,1.54,1.107,0
O=C(Cl)C(Cl)(Cl)Cl,1.677,1.477,0
ClC(Cl)C(Cl)(Cl)Cl,1.855,1.836,0
CC(C)(C)C(O)=O,0.992,0.789,0
CC(=O)C(C)(C)C,1.035,0.873,0
C=C[Si](Cl)(Cl)Cl,2.324,1.067,0
OCC(F)(F)F,0.74,0.404,0
O=CC(Cl)(Cl)Cl,1.91,0.784,0
CC(C)(O)C#N,1.07,0.603,0
CC(C)(C)CO,1.145,0.562,0
CCC(C)(C)C,1.174,0.672,0
ClC(Cl)(Br)CBr,2.297,1.722,0
C[Si](C)(Cl)Cl,2.63,0,0
C[Si](C)(C)Cl,2.229,0,0
C[Si](C)(C)C,1.871,0,0
FC(F)(F)F,0.724,0,0
FC(F)(F)Cl,1.135,0,0
CC(F)(F)Cl,1.356,0,0
CC(C)(C)O,1.379,0,0
FC(F)(F)Br,1.319,0,0
ClC(Cl)(Cl)Br,3.496,0,0
FC(F)(Br)Br,2.196,0,0
CC1CN1,0.824,0,0
C[SiH](Cl)Cl,2.42,0,0
C[N+]([O-])=O,0.931,0,0
FC(F)F,0.606,0,0
O=C(Cl)Cl,1.859,0,0
C=C(F)F,0.789,0,0
CC(F)F,0.794,0,0
CC(=O)Cl,1.456,0,0
CC(Cl)Cl,2.084,0,0
CC(C)S,1.693,0,0
CC(C)Cl,1.63,0,0
CC(C)C,1.254,0,0
CC(C)Br,1.926,0,0
C1CO1,0,0,0
ICI,4.019,0,0
FCF,0.408,0,0
CCS,1.281,0,0
CC=O,0.693,0,0
CCI,1.871,0,0
C=CF,0.581,0,0
C=CCl,1.198,0,0
CC#C,0.881,0,0
CCC,0.84,0,0
ClCBr,2.181,0,0
BrCBr,2.677,0,0
C#N,0,0,0
CI,0,0,0
CBr,0,0,0
C,,,
Nc1[n]c[n]c2[nH]c[n]c21,0.726,0.818,0.607
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.478,0.646,0.779
ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.48,0.648,0.78
CC(Cl)(Cl)Cl,2.65,0,0
CCCO,0.766,0.542,0
Oc1ccccc1C(O)=O,0.653,0.798,0.632
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1.892,2.06,0
CS(C)=O,1.222,0,0
ClC(Cl)Cl,2.614,0,0
CC(C)O,1.115,0,0
CON,0.727,0,0
CCCCCC=O,0.58,0.663,0.61
O=C1C=CNC(=O)N1,0.763,0.724,0.363
OC(=O)c1ccccc1,0.7,0.75,0.55
CC(O)=O,0.969,0,0
OC=O,0.563,0,0
CCO,0.708,0,0
CNC(=O)Oc1cccc2ccccc21,0.46,0.626,0.667
CN(C)N=O,0.87,0.527,0
COP(=O)(OC=C(Cl)Cl)OC,0.671,0.717,0.78
Nc1ccccc1,0.9,0.722,0.185
CCOS(C)(=O)=O,0.857,0.688,0.596
CNC(=O)CSP(=S)(OC)OC,0.71,0.878,0.657
CC(N)=O,1.027,0,0
CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,0.243,0.301,0.354
CCOCC,0.649,0.735,0.475
